label,believability,sentence_length_total,clause_count,avg_parse_depth,max_parse_depth,q1_type,q2_type,qc_type,p1_negations,p2_negations,c_negations,total_negations,lexical_overlap,entity_freq_p1,entity_freq_c,semantic_similarity,raw_text
0,1,19,1,3.3333333333333335,4,1,2,2,0,1,1,2,0.2857142857142857,5,4,0.7838329,"All cars are a type of vehicle. No animal is a car. Therefore, no animal can be a vehicle."
1,1,29,0,5.0,6,2,3,3,1,0,1,2,0.1111111111111111,5,5,0.70990974,Nothing that is a soda is a juice. A portion of the things that are beverages are juices. The only logical conclusion is that some beverages are not sodas.
0,0,28,0,5.0,5,1,1,3,0,0,0,0,0.25,4,6,0.6374303,Everything that is a planet is a celestial body. Anything that is a sun is a celestial body. There exists at least one sun that is a planet.
1,0,19,1,3.6666666666666665,4,1,3,3,0,0,0,0,0.3333333333333333,5,3,0.6669944,"Every cat is an invisible creature. A number of cats are animals. Consequently, a portion of animals are invisible."
1,1,29,1,4.0,4,2,3,3,1,0,1,2,0.25,9,6,0.7755605,"There are no capital cities which are oceans. A select few large cities are classified as capital cities. Therefore, it is clear that some large cities are not oceans."
0,1,21,1,3.6666666666666665,5,1,1,1,0,0,0,0,0.5,3,3,0.8402142,"Every city is a location. Anything that is a location is a capital city. Therefore, every capital city is a city."
0,0,16,2,3.3333333333333335,4,2,1,3,1,0,0,1,0.16666666666666666,5,2,0.5618456,"No star is a meteor. Meteors are, without exception, planets. A number of planets are stars."
0,0,23,2,3.6666666666666665,5,1,1,1,0,0,0,0,0.2857142857142857,7,2,0.803481,"Every single cat is an animal. Anything that can be called a dog is, without exception, an animal. Every dog is a cat."
0,1,21,1,4.0,5,2,1,1,1,0,0,1,0.14285714285714285,5,3,0.75987244,"There are no mammals that are animals. Everything that is an elephant is a mammal. Thus, every elephant is an animal."
0,1,23,1,4.333333333333333,5,1,1,1,0,0,0,0,0.0,5,3,0.7631841,"Anything that is a bird is an animal. Every single creature that is a sparrow is an animal. Consequently, all sparrows are birds."
0,0,26,0,4.333333333333333,5,1,1,2,0,0,1,1,0.18181818181818182,8,5,0.5808388,There exist students that are adults. Every single person who is a student is a person. It follows that not a single person is an adult.
1,0,21,0,3.6666666666666665,4,2,1,2,1,0,1,2,0.2222222222222222,7,4,0.730003,Plants are in no way living organisms. All things that are trees are living organisms. Trees cannot be classified as plants.
